timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0.313268,0.00080910424675,0.004253,-0.000710264215037,-0.000730722195005
0.313639,0.000801237203127,0.0017383,-0.000709109535156,-0.000729844249042
0.314271,0.000784014758727,0.003252,-0.000707115361425,-0.000727619666469
0.314939,0.000770600320984,0.003006,-0.000705104098378,-0.000725093041575
0.315448,0.000754588615547,0.003365,-0.000703316385452,-0.000722109759524
0.316095,0.000738100840923,0.004039,-0.000700632721141,-0.000720327762213
0.31649,0.000724971158977,0.002453,-0.000699152893392,-0.000719093513561
0.317117,0.000711639916589,0.003246,-0.00069632583918,-0.000717381789542
0.317658,0.000696352150649,0.003871,-0.000694351711969,-0.000716232244226
0.318182,0.000679801369258,0.002659,-0.000692558726916,-0.00071483981754
0.318756,0.000666558231463,0.002544,-0.000690338982658,-0.000714554770557
0.319297,0.000653239297828,0.002781,-0.000688642226827,-0.00071303259647
0.319921,0.000643707281545,0.001869,-0.000687271594984,-0.0007130441231
0.320546,0.000638505035497,0.001474,-0.000687539399346,-0.00071430925973
0.321062,0.000635572793536,0.001811,-0.000687430967787,-0.000716197900941
0.321631,0.000629643001615,0.002164,-0.000688400442378,-0.000717373484839
0.322159,0.000624352186077,0.00283,-0.000688849688092,-0.000717859058629
0.322762,0.00061838298759,0.002821,-0.000689797560529,-0.000719606206148
0.323257,0.000613209170845,0.002864,-0.000690910547162,-0.000720686570176
0.324012,0.000604622819847,0.003474,-0.00069349703987,-0.000724253174961
0.324381,0.000598223089998,0.002457,-0.000695164562679,-0.000725325724433
0.325127,0.00058613101074,0.003626,-0.000698086214977,-0.000727641999622
0.325646,0.000576221987468,0.0021,-0.000700015704616,-0.000728363178322
0.326244,0.000566294208346,0.002233,-0.000701857887487,-0.000728941730269
0.32687,0.000558086074084,0.002049,-0.000702916045277,-0.000728776504658
0.327391,0.000550867824133,0.001576,-0.000703432997768,-0.000728474651258
0.327944,0.000545867977338,0.002516,-0.000704108563407,-0.000728843331055
0.328638,0.000540232868394,0.00325,-0.000704231385908,-0.000729216163881
0.329231,0.000537938538452,0.001919,-0.000703029545421,-0.000729241858266
0.329847,0.000536643051689,0.00132,-0.00070291497439,-0.00072908726544
0.330302,0.000535003489844,0.001466,-0.000701707600626,-0.000728211125826
0.331027,0.000534858216792,0.003402,-0.00070081454867,-0.000726827147515
0.331387,0.00053380028281,0.001296,-0.000700655318925,-0.000726689840984
0.332056,0.000529667212655,0.001951,-0.000700729561132,-0.000726172791352
0.332544,0.000531025381367,0.002365,-0.000700186999865,-0.000725696955371
0.33326,0.00052899316125,0.003809,-0.000700224697983,-0.000722752503135
0.333759,0.000529853460855,0.001943,-0.000699988765719,-0.000721795247059
0.334481,0.000526740412155,0.00274,-0.00069851014972,-0.000721064665031
0.334878,0.000526000767604,0.001557,-0.000697858949995,-0.000721735609285
0.335566,0.00052209891019,0.003336,-0.000697354246274,-0.00072024833295
0.336052,0.000519669248339,0.001863,-0.000696877205412,-0.000719946995971
0.33666,0.000513536772381,0.002664,-0.000695839059708,-0.00071920106094
0.337254,0.000509292413862,0.002655,-0.000694640619326,-0.000718397985962
0.337728,0.000503713264469,0.001619,-0.000693228203177,-0.000717482472167
0.338381,0.00050065805205,0.002409,-0.000690955583564,-0.00071688116421
0.339053,0.000493770262888,0.002953,-0.000689566277684,-0.000714739601258
0.339454,0.000490603142516,0.001896,-0.000688630085333,-0.000713280879524
0.340081,0.000479998782607,0.004143,-0.000688083397181,-0.000713216988159
0.340586,0.000470538936757,0.002382,-0.000685631611474,-0.000711714577138
